DATE,DGS1,DGS10,DGS2,DGS20,DGS3,DGS30,DGS5,DGS7
1981-09-01,17.06,15.41,16.78,15.09,16.57,14.7,16.12,15.71
1981-09-02,17.16,15.4,16.78,15.11,16.43,14.7,16.09,15.75
1981-09-03,17.31,15.48,16.9,15.21,16.48,14.82,16.14,15.78
1981-09-04,17.24,15.51,16.89,15.24,16.52,14.84,16.17,15.86
1981-09-07,17.2775,15.57,16.935,15.33,16.549999999999997,14.9525,16.215,15.905
1981-09-08,17.29,15.59,16.95,15.36,16.56,14.99,16.23,15.92
1981-09-09,17.04,15.53,16.95,15.23,16.59,14.73,16.22,15.89
1981-09-10,16.93,15.3,16.72,15.03,16.39,14.68,16.01,15.67
1981-09-11,16.46,15.05,16.47,14.86,16.15,14.49,15.81,15.41
1981-09-14,16.38,15.2,16.43,14.92,16.23,14.51,15.93,15.6
1981-09-15,16.14,15.08,16.13,14.8,15.97,14.44,15.71,15.41
1981-09-16,16.13,15.11,16.09,14.82,15.99,14.42,15.75,15.44
1981-09-17,16.0,14.95,16.01,14.68,15.83,14.26,15.55,15.27
1981-09-18,16.02,14.91,16.02,14.57,15.83,14.22,15.55,15.24
1981-09-21,15.73,14.78,15.79,14.45,15.57,14.09,15.31,15.11
1981-09-22,15.95,15.03,16.04,14.68,15.87,14.33,15.61,15.36
1981-09-23,16.01,15.23,16.11,14.93,16.01,14.61,15.79,15.57
1981-09-24,16.1,15.31,16.17,15.05,16.08,14.69,15.83,15.57
1981-09-25,16.44,15.68,16.53,15.53,16.37,15.08,16.13,15.98
1981-09-28,16.44,15.65,16.57,15.45,16.36,15.01,16.13,15.97
1981-09-29,16.51,15.76,16.59,15.63,16.46,15.2,16.18,16.05
1981-09-30,16.64,15.84,16.69,15.78,16.45,15.19,16.27,16.05
1981-10-01,16.59,15.75,16.57,15.62,16.4,15.14,16.13,15.97
1981-10-02,16.4,15.41,16.34,15.28,16.11,14.8,15.83,15.69
1981-10-05,15.83,15.19,15.87,15.09,15.77,14.62,15.55,15.41
1981-10-06,15.69,15.14,15.85,15.1,15.78,14.6,15.53,15.4
1981-10-07,15.62,15.04,15.73,15.03,15.62,14.54,15.43,15.35
1981-10-08,15.47,15.0,15.79,14.95,15.65,14.44,15.41,15.35
1981-10-09,15.06,14.73,15.2,14.72,15.15,14.26,15.03,15.02
1981-10-12,15.075,14.805,15.2375,14.855,15.1425,14.334999999999999,15.0975,15.0425
1981-10-13,15.08,14.83,15.25,14.9,15.14,14.36,15.12,15.05
1981-10-14,15.11,14.87,15.35,14.95,15.21,14.48,15.13,15.07
1981-10-15,15.12,14.88,15.31,14.86,15.17,14.39,15.12,15.05
1981-10-16,15.26,14.94,15.46,14.98,15.3,14.55,15.2,15.14
1981-10-19,15.28,14.95,15.48,14.94,15.36,14.52,15.29,15.16
1981-10-20,15.36,15.09,15.48,15.05,15.44,14.66,15.37,15.27
1981-10-21,15.44,15.34,15.55,15.32,15.57,14.94,15.55,15.47
1981-10-22,15.41,15.38,15.56,15.33,15.6,14.91,15.57,15.51
1981-10-23,15.19,15.3,15.41,15.26,15.54,14.81,15.46,15.42
1981-10-26,15.38,15.6,15.56,15.59,15.68,15.21,15.68,15.66
1981-10-27,15.35,15.54,15.56,15.47,15.68,15.09,15.62,15.62
1981-10-28,15.23,15.44,15.42,15.42,15.57,15.03,15.54,15.54
1981-10-29,14.83,15.06,15.07,15.13,15.11,14.66,15.2,15.12
1981-10-30,14.31,14.63,14.59,14.75,14.65,14.36,14.78,14.73
